model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,group,config,resid_test_r2,cross_fit_folds_protocol,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
S1 [linear],M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,7.3605331683239426,2.713030255696376,2.175527732894381,-0.0173842478990571,0.5496732790122904,47.36724549852949,1.3729886170064014,8.566003196532822,2.926773513022971,2.263650267843024,-0.0223141262472013,0.5500801615212979,46.915710730110106,1.864103666903613,0.009,daily,5,seed42,daily|M01AB|B_rich,,5,linear,0.0,2.713030255696376,0.0,,2.926773513022971,,,,,,,,
AR-LRX [linear],M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.28190397242516,2.698500319144906,2.1711738112885786,-0.0065159991590537,0.5467294423737871,47.322973941126605,1.350044996953268,8.787350852231569,2.964346614725,2.322216056000765,-0.048730977845403,0.5571419371459382,47.969800876783154,1.8422656856732664,5.916,daily,5,seed42,daily|M01AB|B_rich,-0.142464833837097,5,linear,0.4,2.713030255696376,0.5356,-0.009651914259662,2.926773513022971,5.0,,,,,,,
AR-LRX-g [linear],M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.28190397242516,2.698500319144906,2.1711738112885786,-0.0065159991590537,0.5467294423737871,47.322973941126605,1.350044996953268,8.787350842980763,2.9643466131646554,2.322216054147558,-0.0487309767413608,0.5571419368526751,47.96980084284148,1.842265686844193,6.462,daily,5,seed42,daily|M01AB|B_rich,-0.142464833837097,5,linear,0.3999999999999999,2.713030255696376,0.5356,-0.009651914259662,2.926773513022971,5.0,False,global,1.0,"{""0"": 0.4}",0.4,0.4,2.706770491677012
AR-LRX-Aug [linear],M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.270359854194485,2.696360482983402,2.182741551461691,-0.0049203533307982,0.5462959010386053,47.509125612342174,1.37167028705755,8.477637783459441,2.9116383332171325,2.2748442361936325,-0.0117681098631363,0.5472355402633823,47.30426628240212,1.8723524637013425,6.146,daily,5,seed42,daily|M01AB|B_rich,-0.0022894950530985,5,linear,0.7000000000000001,2.713030255696376,0.6144,0.0104909715535008,2.926773513022971,5.0,True,global,1.0,"{""0"": 0.7}",0.7,0.7,2.706165285955928
XGBoost,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.306749701534913,2.70310001693147,2.173739280337379,-0.0099502141603,0.5476613637777218,47.43292570255277,1.3357027062905813,9.196900043833027,3.0326391219254933,2.3991443322058355,-0.0976088400596923,0.5699773523990783,49.38125516295228,1.8524969406197325,6.63,daily,5,seed42,daily|M01AB|B_rich,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.357102683724141,2.7123979582141224,2.178872327904994,-0.0169100810262661,0.5495451724312259,47.51682175411712,1.3351727176684045,9.263438409345456,3.043589724214723,2.412122974952439,-0.1055498960504592,0.5720354922070313,49.59204456859843,1.852406401639836,10.488,daily,5,seed42,daily|M01AB|B_rich,,5,,,,,,,5.0,,,,,,,
Naive,M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,8.063918044871794,2.839703865700048,2.218602564102564,-1.0160140755539473,0.7349227624344821,60.37815381835404,19.092561696684115,8.127574394904459,2.850890105722151,2.2165859872611464,-0.4660092267111404,0.7429677004131198,66.51148449675807,2.7600257404290813,0.0,daily,5,seed42,daily|M01AE|A_lag1,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,7.688206141025641,2.7727614648623566,2.131211538461538,-0.9220844891801484,0.7175978946051728,58.50321369891426,11.658897336905705,8.206476410828024,2.864694819841727,2.21325796178344,-0.4802411583711663,0.7465653335466087,66.23754139148446,6.085345931316496,0.0,daily,5,seed42,daily|M01AE|A_lag1,,5,,,,,,,,,,,,,,
S1 [linear],M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,4.030009093885328,2.007488254980668,1.604507226399023,-0.0075195472813609,0.519543193121465,44.18282874781168,8.974778377032807,5.39158856688948,2.3219794501436657,1.7570176272245002,0.0274935421513066,0.6051288083736097,50.103371144787765,3.901992843556399,0.008,daily,5,seed42,daily|M01AE|A_lag1,,5,linear,0.0,2.007488254980668,0.0,,2.3219794501436657,,,,,,,,
AR-LRX [linear],M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.030009093885328,2.007488254980668,1.604507226399023,-0.0075195472813609,0.519543193121465,44.18282874781168,8.974778377032807,5.39158856688948,2.3219794501436657,1.7570176272245002,0.0274935421513066,0.6051288083736097,50.103371144787765,3.901992843556399,16.74,daily,5,seed42,daily|M01AE|A_lag1,0.0157892826570177,5,linear,0.0,2.007488254980668,0.0,-0.0326229141789218,2.3219794501436657,5.0,,,,,,,
