category,feature_set,model,n_features,n_lags,lag_rule,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,scaler,seed,n_grid,params
R03,B_rich,XGBoost,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
R03,B_rich,LR+XGB (average),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}"
R03,B_rich,LR-XGB (residual),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
R06,A_lag1,Naive,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,0,{}
R06,A_lag1,SeasonalNaive(s=7),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,0,{}
R06,A_lag1,LR,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,{}
R06,A_lag1,GRNN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,16,"{""sigma"": 0.2}"
R06,A_lag1,P_NN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,16,"{""sigma"": 0.1}"
R06,A_lag1,RBFNN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,60,"{""alpha"": 0.01, ""gamma"": 1.0, ""n_centers"": 5}"
R06,A_lag1,XGBoost,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
R06,A_lag1,LR+XGB (average),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
R06,A_lag1,LR-XGB (residual),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
R06,B_rich,Naive,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,0,{}
R06,B_rich,SeasonalNaive(s=7),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,0,{}
R06,B_rich,LR,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,{}
R06,B_rich,GRNN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,16,"{""sigma"": 0.2}"
R06,B_rich,P_NN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,16,"{""sigma"": 0.1}"
R06,B_rich,RBFNN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,60,"{""alpha"": 0.01, ""gamma"": 1.0, ""n_centers"": 5}"
R06,B_rich,XGBoost,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
R06,B_rich,LR+XGB (average),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
R06,B_rich,LR-XGB (residual),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,A_lag1,"ARIMA(5,1,0)",1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,"{""order"": [5, 1, 0]}"
M01AE,A_lag1,"ARIMA(5,1,0)",1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,1,"{""order"": [5, 1, 0]}"
N02BA,A_lag1,"ARIMA(5,1,0)",1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,"{""order"": [5, 1, 0]}"
N02BE,A_lag1,"ARIMA(5,1,0)",1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,"{""order"": [5, 1, 0]}"
N05B,A_lag1,"ARIMA(5,1,0)",1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,"{""order"": [5, 1, 0]}"
N05C,A_lag1,"ARIMA(5,1,0)",1,7,pacf_train,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,none,42,1,"{""order"": [5, 1, 0]}"
R03,A_lag1,"ARIMA(5,1,0)",1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,"{""order"": [5, 1, 0]}"
R06,A_lag1,"ARIMA(5,1,0)",1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,"{""order"": [5, 1, 0]}"
M01AB,A_lag1,Naive,1,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,0,{}
M01AB,A_lag1,SeasonalNaive(s=52),1,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,0,{}
M01AB,A_lag1,LR,1,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,1,{}
M01AB,A_lag1,GRNN,1,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,standard,42,16,"{""sigma"": 50.0}"
M01AB,A_lag1,P_NN,1,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,standard,42,16,"{""sigma"": 1.0}"
M01AB,A_lag1,RBFNN,1,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,standard,42,60,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}"
M01AB,A_lag1,XGBoost,1,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,A_lag1,LR+XGB (average),1,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,A_lag1,LR-XGB (residual),1,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,B_rich,Naive,3,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,0,{}
M01AB,B_rich,SeasonalNaive(s=52),3,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,0,{}
M01AB,B_rich,LR,3,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,1,{}
M01AB,B_rich,GRNN,3,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,standard,42,16,"{""sigma"": 10.0}"
M01AB,B_rich,P_NN,3,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,standard,42,16,"{""sigma"": 1.5}"
M01AB,B_rich,RBFNN,3,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,standard,42,60,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}"
M01AB,B_rich,XGBoost,3,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,B_rich,LR+XGB (average),3,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,B_rich,LR-XGB (residual),3,2,pacf_train,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,A_lag1,Naive,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
M01AE,A_lag1,SeasonalNaive(s=52),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
M01AE,A_lag1,LR,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,1,{}
M01AE,A_lag1,GRNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.35}"
M01AE,A_lag1,P_NN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.2}"
M01AE,A_lag1,RBFNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,60,"{""alpha"": 0.1, ""gamma"": 1.0, ""n_centers"": 5}"
M01AE,A_lag1,XGBoost,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,A_lag1,LR+XGB (average),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,A_lag1,LR-XGB (residual),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,B_rich,Naive,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
M01AE,B_rich,SeasonalNaive(s=52),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
M01AE,B_rich,LR,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,1,{}
M01AE,B_rich,GRNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.35}"
M01AE,B_rich,P_NN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.2}"
M01AE,B_rich,RBFNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,60,"{""alpha"": 0.1, ""gamma"": 1.0, ""n_centers"": 5}"
M01AE,B_rich,XGBoost,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,B_rich,LR+XGB (average),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,B_rich,LR-XGB (residual),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BA,A_lag1,Naive,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N02BA,A_lag1,SeasonalNaive(s=52),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N02BA,A_lag1,LR,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,1,{}
N02BA,A_lag1,GRNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.5}"
N02BA,A_lag1,P_NN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.75}"
N02BA,A_lag1,RBFNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,60,"{""alpha"": 0.01, ""gamma"": 1.0, ""n_centers"": 5}"
N02BA,A_lag1,XGBoost,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BA,A_lag1,LR+XGB (average),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BA,A_lag1,LR-XGB (residual),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BA,B_rich,Naive,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N02BA,B_rich,SeasonalNaive(s=52),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N02BA,B_rich,LR,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,1,{}
N02BA,B_rich,GRNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.5}"
N02BA,B_rich,P_NN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.75}"
N02BA,B_rich,RBFNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,60,"{""alpha"": 0.01, ""gamma"": 1.0, ""n_centers"": 5}"
N02BA,B_rich,XGBoost,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BA,B_rich,LR+XGB (average),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BA,B_rich,LR-XGB (residual),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BE,A_lag1,Naive,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N02BE,A_lag1,SeasonalNaive(s=52),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N02BE,A_lag1,LR,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,1,{}
N02BE,A_lag1,GRNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.35}"
N02BE,A_lag1,P_NN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.2}"
N02BE,A_lag1,RBFNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,60,"{""alpha"": 0.1, ""gamma"": 0.01, ""n_centers"": 10}"
N02BE,A_lag1,XGBoost,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BE,A_lag1,LR+XGB (average),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BE,A_lag1,LR-XGB (residual),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BE,B_rich,Naive,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N02BE,B_rich,SeasonalNaive(s=52),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N02BE,B_rich,LR,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,1,{}
N02BE,B_rich,GRNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.35}"
N02BE,B_rich,P_NN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 0.2}"
N02BE,B_rich,RBFNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,60,"{""alpha"": 0.1, ""gamma"": 0.01, ""n_centers"": 10}"
N02BE,B_rich,XGBoost,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BE,B_rich,LR+XGB (average),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N02BE,B_rich,LR-XGB (residual),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N05B,A_lag1,Naive,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N05B,A_lag1,SeasonalNaive(s=52),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N05B,A_lag1,LR,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,1,{}
N05B,A_lag1,GRNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 5.0}"
N05B,A_lag1,P_NN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 1.0}"
N05B,A_lag1,RBFNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,60,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}"
N05B,A_lag1,XGBoost,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N05B,A_lag1,LR+XGB (average),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N05B,A_lag1,LR-XGB (residual),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N05B,B_rich,Naive,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N05B,B_rich,SeasonalNaive(s=52),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,0,{}
N05B,B_rich,LR,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,1,{}
N05B,B_rich,GRNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 5.0}"
N05B,B_rich,P_NN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,16,"{""sigma"": 1.0}"
N05B,B_rich,RBFNN,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,standard,42,60,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}"
N05B,B_rich,XGBoost,1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N05B,B_rich,LR+XGB (average),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N05B,B_rich,LR-XGB (residual),1,1,pacf_train,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
N05C,A_lag1,Naive,1,10,pacf_train,204,43,45,2014-03-16,2018-02-04,2018-02-11,2018-12-02,2018-12-09,2019-10-13,none,42,0,{}
N05C,A_lag1,SeasonalNaive(s=52),1,10,pacf_train,204,43,45,2014-03-16,2018-02-04,2018-02-11,2018-12-02,2018-12-09,2019-10-13,none,42,0,{}
N05C,A_lag1,LR,1,10,pacf_train,204,43,45,2014-03-16,2018-02-04,2018-02-11,2018-12-02,2018-12-09,2019-10-13,none,42,1,{}
N05C,A_lag1,GRNN,1,10,pacf_train,204,43,45,2014-03-16,2018-02-04,2018-02-11,2018-12-02,2018-12-09,2019-10-13,standard,42,16,"{""sigma"": 1.5}"
N05C,A_lag1,P_NN,1,10,pacf_train,204,43,45,2014-03-16,2018-02-04,2018-02-11,2018-12-02,2018-12-09,2019-10-13,standard,42,16,"{""sigma"": 0.75}"
